date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,35.4582,35.6139,35.3449,35.4912,5935698,2967849,0.066063,0.186,35.5178,"Feb 18, 14",0
2014-02-19,35.2081,35.6498,35.2081,35.3072,5401484,2700742,-0.184038,-0.519,35.4505,"Feb 19, 14",-0.0051843837345594826
2014-02-20,35.3874,35.746,35.326,35.6658,5581594,2790797,0.358641,1.016,35.6501,"Feb 20, 14",0.004919529348120044
2014-02-21,35.5762,36.1755,35.562,36.0905,8728528,4364264,0.424705,1.191,36.0046,"Feb 21, 14",0.016885875935443138
2014-02-24,36.1424,36.8739,36.0952,36.7323,11090816,5545408,0.641777,1.778,36.6895,"Feb 24, 14",0.03496923180957542
2014-02-25,36.6804,37.0532,36.6049,36.8597,6844588,3422294,0.12741,0.347,36.8998,"Feb 25, 14",0.0385588540257866
2014-02-26,36.9541,37.3056,36.9541,37.006,7918668,3959334,0.146289,0.397,37.1091,"Feb 26, 14",0.0426810026147327
2014-02-27,36.9208,37.1054,36.6746,36.9302,6599430,3299715,-0.075753,-0.205,36.8209,"Feb 27, 14",0.040545261924082594
2014-02-28,36.8734,37.2568,36.7362,37.0628,6876614,3438307,0.132539,0.359,37.0724,"Feb 28, 14",0.04428139933279246
2014-03-03,36.7456,36.916,36.2344,36.632,6069112,3034556,-0.430745,-1.162,36.4738,"Mar 3, 14",0.03214317915426919
2014-03-04,37.1906,37.4178,37.0912,37.2142,5661616,2830808,0.582213,1.589,37.2333,"Mar 4, 14",0.048547245514381
2014-03-05,37.1669,37.2048,36.6178,36.6462,6733758,3366879,-0.568013,-1.526,36.7121,"Mar 5, 14",0.03254327833378418
2014-03-06,36.8261,37.1054,36.6178,37.0249,5537940,2768970,0.378675,1.033,36.9319,"Mar 6, 14",0.04321352898746741
2014-03-07,37.4415,37.9101,37.432,37.6119,8930880,4465440,0.586945,1.585,37.629,"Mar 7, 14",0.059752840140654566
2014-03-10,37.4746,37.5645,37.1338,37.3847,5344448,2672224,-0.227202,-0.604,37.3166,"Mar 10, 14",0.05335125326841592
2014-03-11,37.4178,37.6876,37.1906,37.2994,4907242,2453621,-0.085204,-0.228,37.4201,"Mar 11, 14",0.05094784059147055
2014-03-12,36.9681,37.3941,36.935,37.3799,4297346,2148673,0.08047,0.216,37.2704,"Mar 12, 14",0.053216008475340366
2014-03-13,37.5125,37.7397,37.077,37.1716,8400450,4200225,-0.208271,-0.557,36.2366,"Mar 13, 14",0.04734694797583623
2014-03-14,37.058,37.3941,36.8308,37.0722,6086540,3043270,-0.099403,-0.267,37.1461,"Mar 14, 14",0.0445462537192319
2014-03-17,37.3326,37.4604,37.1669,37.3847,8580336,4290168,0.312408,0.843,37.3465,"Mar 17, 14",0.05335125326841592
2014-03-18,37.4793,37.9053,37.4178,37.6971,8245394,4122697,0.312406,0.836,37.7223,"Mar 18, 14",0.062153435217744114
2014-03-19,37.5598,37.8485,37.1858,37.4651,5970302,2985151,-0.231939,-0.615,36.8791,"Mar 19, 14",0.055616603552429915
2014-03-20,37.3704,37.5219,36.8119,37.5219,12440636,6220318,0.056801,0.152,37.3477,"Mar 20, 14",0.057217000270489676
2014-03-21,36.4948,36.5942,35.5007,35.6001,31787072,15893536,-1.9218,-5.122,35.1065,"Mar 21, 14",0.0030683662428996044
2014-03-24,35.7279,35.8936,35.2972,35.4345,10002094,5001047,-0.165673,-0.465,35.5258,"Mar 24, 14",-0.0015975791182039297
2014-03-25,35.6664,35.7422,34.8333,34.8617,10529380,5264690,-0.572744,-1.616,35.0361,"Mar 25, 14",-0.0177367910918763
2014-03-26,35.1126,35.2641,34.6582,34.6582,8543902,4271951,-0.203538,-0.584,35.5096,"Mar 26, 14",-0.02347060679830489
2014-03-27,34.7008,35.0747,34.5588,34.7055,8158684,4079342,0.047335,0.137,34.6267,"Mar 27, 14",-0.022137882066540396
2014-03-28,34.8286,35.0842,34.6866,34.8097,5987044,2993522,0.104136,0.3,34.877,"Mar 28, 14",-0.019201943016860512
2014-03-31,35.0274,35.1173,34.7671,34.9611,6356670,3178335,0.151468,0.435,34.9546,"Mar 31, 14",-0.014936096835271768
2014-04-01,35.0369,35.3966,35.0369,35.212,7407620,3703810,0.250874,0.718,35.2176,"Apr 1, 14",-0.007866738797222859
2014-04-02,35.3635,35.5007,35.1789,35.283,7613420,3806710,0.071,0.202,35.3333,"Apr 2, 14",-0.005866242899648305
2014-04-03,35.2925,35.5859,34.9422,35.0227,8254934,4127467,-0.260339,-0.738,35.1498,"Apr 3, 14",-0.013200455324136655
2014-04-04,35.2025,35.2641,34.3269,34.4783,9730242,4865121,-0.544342,-1.554,34.716,"Apr 4, 14",-0.028539468938779244
2014-04-07,34.4641,34.5257,33.418,33.5269,13853874,6926937,-0.951422,-2.759,33.7907,"Apr 7, 14",-0.05534611396627901
2014-04-08,34.1849,34.6061,34.0334,34.5162,12659534,6329767,0.989287,2.951,34.4581,"Apr 8, 14",-0.027471598593454192
2014-04-09,34.6771,34.8381,34.3316,34.8191,7078436,3539218,0.30294,0.878,34.6225,"Apr 9, 14",-0.018937088630421074
2014-04-10,34.9185,35.1079,34.1991,34.2937,8376572,4188286,-0.525412,-1.509,34.3532,"Apr 10, 14",-0.03374075827247312
2014-04-11,34.0807,34.3979,33.7115,33.7257,8698526,4349263,-0.568013,-1.656,33.9747,"Apr 11, 14",-0.04974472545306994
2014-04-14,33.9387,34.2985,33.7494,34.2606,7264770,3632385,0.534881,1.586,34.1447,"Apr 14, 14",-0.03467338382472282
2014-04-15,34.2606,34.4925,33.9529,34.2133,7777444,3888722,-0.047333,-0.138,34.183,"Apr 15, 14",-0.03600610855648731
2014-04-16,34.4783,34.6393,34.3174,34.6014,4613326,2306663,0.38814,1.134,34.5414,"Apr 16, 14",-0.02507100351636465
2014-04-17,34.715,35.2309,34.689,35.0416,9041594,4520797,0.440208,1.272,35.0053,"Apr 17, 14",-0.012667928951401944
2014-04-21,34.9848,35.0558,34.7055,34.9801,6811838,3405919,-0.061534,-0.176,34.9331,"Apr 21, 14",-0.014400752862681426
2014-04-22,34.8901,35.3587,34.8901,35.1931,5136078,2568039,0.213004,0.609,35.1883,"Apr 22, 14",-0.008399265169957568
2014-04-23,35.283,35.4345,35.0322,35.0747,4737822,2368911,-0.118334,-0.336,35.199,"Apr 23, 14",-0.011735303399152444
2014-04-24,35.0369,35.2025,34.6014,34.7387,6784518,3392259,-0.336076,-0.958,34.7859,"Apr 24, 14",-0.021202438914435063
2014-04-25,34.5967,34.8858,34.3221,34.4121,6482914,3241457,-0.326605,-0.94,34.53,"Apr 25, 14",-0.030404720043278245
2014-04-28,34.7245,34.8807,33.6547,33.9245,11446864,5723432,-0.487544,-1.417,34.0763,"Apr 28, 14",-0.044143336939861076
2014-04-29,33.9482,34.4215,33.915,34.3079,6235986,3117993,0.383407,1.13,34.2747,"Apr 29, 14",-0.03334065909295833
2014-04-30,34.2369,34.5824,34.1233,34.5304,6174692,3087346,0.22247,0.648,34.4752,"Apr 30, 14",-0.0270714994139392
2014-05-01,34.4641,34.7339,34.36,34.5162,4818124,2409062,-0.014199,-0.041,34.5158,"May 1, 14",-0.027471598593454192
2014-05-02,34.5209,34.8049,34.4783,34.5493,4048270,2024135,0.033135,0.096,34.5971,"May 2, 14",-0.02653897304120449
2014-05-05,34.3979,34.7576,34.2038,34.6913,4655822,2327911,0.142004,0.411,34.6039,"May 5, 14",-0.022537981246055386
2014-05-06,34.5493,34.6322,34.1801,34.1991,4585112,2292556,-0.492278,-1.419,35.0461,"May 6, 14",-0.0364062077360021
2014-05-07,34.4168,34.4712,33.8559,34.1659,5605346,2802673,-0.033134,-0.097,34.1076,"May 7, 14",-0.03734165088810744
2014-05-08,34.2133,34.7197,34.1991,34.5777,7965266,3982633,0.411808,1.205,34.5613,"May 8, 14",-0.02573877468217471
2014-05-09,34.4925,34.8272,34.4073,34.7671,4817094,2408547,0.189338,0.548,34.6886,"May 9, 14",-0.020402240555405283
2014-05-12,34.8475,35.3398,34.7292,35.3256,6636942,3318471,0.558544,1.607,35.1737,"May 12, 14",-0.0046659453611035346
2014-05-13,35.3445,35.5007,35.2783,35.3067,4530112,2265056,-0.018934,-0.054,35.4028,"May 13, 14",-0.005198471733838244
2014-05-14,35.2546,35.3351,34.7907,34.8286,6283330,3141665,-0.478076,-1.354,35.0201,"May 14, 14",-0.018669416644125802
2014-05-15,34.7481,34.8475,34.2559,34.5257,6039798,3019899,-0.30294,-0.87,34.4934,"May 15, 14",-0.02720392660715892
2014-05-16,34.5351,35.0037,34.4736,34.999,5377026,2688513,0.473345,1.371,34.7415,"May 16, 14",-0.013868226489946716
2014-05-19,35.0369,35.2877,34.9005,35.2593,4682142,2341071,0.260337,0.744,35.126,"May 19, 14",-0.006534014065458367
2014-05-20,35.0463,35.0747,34.6047,34.6771,5921378,2960689,-0.58221,-1.651,34.7774,"May 20, 14",-0.02293808042557018
2014-05-21,34.7339,35.1505,34.6771,35.1268,4671898,2335949,0.449674,1.297,35.0304,"May 21, 14",-0.0102673338743124
2014-05-22,35.2262,35.4676,35.0274,35.4439,4866302,2433151,0.31714,0.903,35.3447,"May 22, 14",-0.0013327247317644908
2014-05-23,35.5623,36.1256,35.4818,35.9031,7335230,3667615,0.459143,1.295,35.8938,"May 23, 14",0.011605693805788558
2014-05-27,36.1824,36.3764,36.0782,36.2628,6698076,3349038,0.359742,1.002,36.2415,"May 27, 14",0.02174060048688124
2014-05-28,36.225,36.2628,35.9362,36.1019,4749234,2374617,-0.160938,-0.444,36.1206,"May 28, 14",0.017207082318997424
2014-05-29,36.1826,36.3916,36.0805,36.2681,3987550,1993775,0.166204,0.46,36.2196,"May 29, 14",0.02188993327923535
2014-05-30,36.2776,36.5293,36.2301,36.5198,5192378,2596189,0.251664,0.694,36.4441,"May 30, 14",0.02898183211613012
2014-06-02,36.5577,36.5577,36.2301,36.4295,3826488,1913244,-0.090222,-0.247,36.4157,"Jun 2, 14",0.02643753944639793
2014-06-03,36.2871,36.3773,35.8407,35.874,6793492,3396746,-0.555558,-1.525,36.0035,"Jun 3, 14",0.01078577224776855
2014-06-04,35.8217,36.2586,35.8123,36.1494,7356868,3678434,0.275407,0.768,36.1256,"Jun 4, 14",0.01854544225047338
2014-06-05,36.2349,36.3426,35.7648,36.0259,7345504,3672752,-0.123457,-0.342,35.9708,"Jun 5, 14",0.015065706428635854
2014-06-06,36.1636,36.5008,36.1589,36.1969,6637666,3318833,0.17094,0.474,36.288,"Jun 6, 14",0.019883802181949333
2014-06-09,36.1351,36.5198,36.1351,36.4058,5028680,2514340,0.208931,0.577,36.3705,"Jun 9, 14",0.025769768280587867
2014-06-10,36.2491,36.5245,36.2016,36.2349,5152844,2576422,-0.170943,-0.47,36.3581,"Jun 10, 14",0.02095449012713022
