date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-02-18,59.615,60.0654,59.0543,59.3209,7719625,7719625,-0.220593,-0.37,59.4728,"Feb 18, 14",0
2014-02-19,59.4955,60.6904,59.0635,60.2124,5810151,5810151,0.891559,1.503,60.2825,"Feb 19, 14",0.01502843011484992
2014-02-20,60.1941,61.8025,60.1389,61.1683,6331631,6331631,0.955899,1.588,61.4575,"Feb 20, 14",0.031142480980565036
2014-02-21,61.2235,61.3522,60.4606,60.9569,3869330,3869330,-0.211403,-0.346,61.0019,"Feb 21, 14",0.027578812863594378
2014-02-24,61.0856,61.8117,61.0397,61.1408,4783813,4783813,0.18383,0.302,61.304,"Feb 24, 14",0.030678900690987443
2014-02-25,61.15,62.7217,60.6352,61.536,7117493,7117493,0.395226,0.646,61.7646,"Feb 25, 14",0.037340970888843555
2014-02-26,61.4533,62.0323,60.6812,61.1316,5148363,5148363,-0.404418,-0.657,61.1429,"Feb 26, 14",0.030523812012292414
2014-02-27,60.9937,62.9606,60.9937,62.6757,6981220,6981220,1.5441,2.526,62.3206,"Feb 27, 14",0.05655342383544412
2014-02-28,62.6481,64.1923,61.8209,62.4551,5563585,5563585,-0.220591,-0.352,62.5207,"Feb 28, 14",0.05283466703977856
2014-03-03,62.1334,62.6849,61.0397,61.9496,7405787,7405787,-0.505522,-0.809,61.7418,"Mar 3, 14",0.0443132184440896
2014-03-04,62.9147,63.8338,62.8687,63.5029,7256101,7256101,1.5533,2.507,63.4586,"Mar 4, 14",0.07049791894593634
2014-03-05,63.5857,63.5857,62.4643,62.9423,4508419,4508419,-0.56067,-0.883,63.1893,"Mar 5, 14",0.06104762402458495
2014-03-06,63.2915,63.3467,61.2511,61.3154,6453227,6453227,-1.6269,-2.585,62.7405,"Mar 6, 14",0.033622214093177866
2014-03-07,61.4073,62.1886,61.2143,61.775,5941549,5941549,0.459566,0.75,61.694,"Mar 7, 14",0.04136990504189918
2014-03-10,61.5819,61.8025,61.15,61.3797,4176870,4176870,-0.395228,-0.64,61.4732,"Mar 10, 14",0.03470614909753557
2014-03-11,61.536,61.7658,60.911,61.1408,3309386,3309386,-0.238973,-0.389,61.2902,"Mar 11, 14",0.030678900690987443
2014-03-12,62.2621,63.1169,61.3522,61.5176,8244440,8244440,0.376843,0.616,61.7315,"Mar 12, 14",0.0370307935314535
2014-03-13,61.729,62.5746,61.1867,61.5176,4709829,4709829,0,0,61.5807,"Mar 13, 14",0.0370307935314535
2014-03-14,61.3889,62.0691,61.2878,61.6463,4320033,4320033,0.128679,0.209,61.7532,"Mar 14, 14",0.039200349286676275
